Appareil suivi;ID logement;Consommation annuelle  AN1;Consommation annuelle AN2;Type
Audio_TV;106;1,7;;Barre De Son
Audio_TV;302;22,2;16,7;Barre De Son
Audio_TV;311;14,7;13,0;Barre De Son
Audio_TV;410;7,8;7,8;Barre De Son
Audio_TV;608;7,9;7,5;Barre De Son
Audio_TV;808;0,8;;Barre De Son
Audio_TV;302;6,4;6,9;Barre De Son 2
Audio_TV;202;10,0;14,0;Home Cinéma
Audio_TV;209;0,5;0,0;Home Cinéma
Audio_TV;402;18,7;1,2;Home Cinéma
Audio_TV;405;6,6;0,3;Home Cinéma
Audio_TV;602;1,1;1,1;Home Cinéma
Audio_TV;1010;59,3;115,6;Home Cinéma
Audio_TV;121;;8,3;Barre De Son
Audio_TV;122;;21,0;Barre De Son
Audio_TV;823;;16,3;Barre De Son
Audio_TV;721;;3,2;Home Cinéma
Bouilloires;108;20,8;;
Bouilloires;201;1,6;;
Bouilloires;205;82,7;88,7;
Bouilloires;206;72,9;77,0;
Bouilloires;207;56,0;43,2;
Bouilloires;208;9,8;;
Bouilloires;210;96,2;99,1;
Bouilloires;301;15,1;16,5;
Bouilloires;303;43,9;41,7;
Bouilloires;309;40,9;33,9;
Bouilloires;310;45,2;52,5;
Bouilloires;311;34,2;42,5;
Bouilloires;401;33,5;;
Bouilloires;406;50,3;65,0;
Bouilloires;409;41,9;49,0;
Bouilloires;410;45,6;89,8;
Bouilloires;502;50,7;62,8;
Bouilloires;504;26,4;11,4;
Bouilloires;506;6,6;9,1;
Bouilloires;508;29,1;35,8;
Bouilloires;510;44,2;47,2;
Bouilloires;603;60,0;10,4;
Bouilloires;605;29,1;48,6;
Bouilloires;607;53,3;16,1;
Bouilloires;706;59,7;53,2;
Bouilloires;707;14,2;24,2;
Bouilloires;708;30,0;;
Bouilloires;802;0,4;;
Bouilloires;803;88,7;97,2;
Bouilloires;804;16,6;17,3;
Bouilloires;805;119,4;134,4;
Bouilloires;809;68,4;;
Bouilloires;909;103,4;85,0;
Bouilloires;911;66,4;49,7;
Bouilloires;1001;113,3;63,4;
Bouilloires;1002;59,5;66,2;
Bouilloires;1004;63,7;59,1;
Bouilloires;1005;36,8;45,9;
Bouilloires;1007;86,2;47,5;
Bouilloires;1011;62,2;51,8;
Bouilloires;101;;5,3;
Bouilloires;105;;173,5;
Bouilloires;107;;68,9;
Bouilloires;121;;45,1;
Bouilloires;320;;7,0;
Bouilloires;421;;59,4;
Box Internet;101;129,4;135,0;
Box Internet;102;76,8;85,4;
Box Internet;103;78,6;79,0;
Box Internet;104;96,4;;
Box Internet;105;49,6;52,5;
Box Internet;106;258,0;;
Box Internet;107;22,3;;
Box Internet;108;4,9;;
Box Internet;109;147,2;;
Box Internet;110;126,3;117,9;
Box Internet;201;38,3;38,3;
Box Internet;202;83,2;84,7;
Box Internet;203;15,5;17,2;
Box Internet;204;90,3;100,5;
Box Internet;205;95,3;87,3;
Box Internet;206;44,5;128,8;
Box Internet;207;55,4;55,2;
Box Internet;208;27,5;;
Box Internet;209;119,5;133,2;
Box Internet;210;141,9;80,5;
Box Internet;301;145,1;105,9;
Box Internet;302;59,9;54,2;
Box Internet;303;80,0;158,2;
Box Internet;304;66,6;;
Box Internet;305;152,5;145,4;
Box Internet;306;70,9;103,9;
Box Internet;307;72,6;;
Box Internet;308;83,5;83,9;
Box Internet;309;75,9;85,8;
Box Internet;310;22,7;41,6;
Box Internet;311;160,4;128,2;
Box Internet;401;101,7;;
Box Internet;402;30,9;59,3;
Box Internet;403;75,6;69,5;
Box Internet;404;87,4;82,8;
Box Internet;405;102,6;102,9;
Box Internet;406;221,5;114,6;
Box Internet;407;62,0;41,5;
Box Internet;408;71,7;;
Box Internet;410;121,4;98,3;
Box Internet;501;95,5;;
Box Internet;502;104,9;216,4;
Box Internet;503;64,2;67,5;
Box Internet;504;21,6;31,1;
Box Internet;505;76,5;59,2;
Box Internet;506;137,9;147,1;
Box Internet;507;72,4;75,8;
Box Internet;508;87,6;52,6;
Box Internet;509;159,7;;
Box Internet;510;109,0;95,1;
Box Internet;601;81,4;75,3;
Box Internet;602;194,8;149,4;
Box Internet;603;61,7;65,3;
Box Internet;604;204,1;192,3;
Box Internet;605;79,6;91,1;
Box Internet;606;49,4;67,1;
Box Internet;607;111,1;175,5;
Box Internet;608;73,9;78,1;
Box Internet;701;76,4;;
Box Internet;702;62,5;72,5;
Box Internet;703;76,8;78,4;
Box Internet;704;61,0;79,2;
Box Internet;705;146,2;186,2;
Box Internet;706;33,0;95,0;
Box Internet;707;58,5;68,9;
Box Internet;708;79,7;;
Box Internet;709;69,9;73,9;
Box Internet;801;51,4;47,2;
Box Internet;802;150,5;;
Box Internet;803;85,4;93,7;
Box Internet;804;106,9;85,0;
Box Internet;805;70,0;68,3;
Box Internet;806;70,6;70,4;
Box Internet;807;83,3;84,7;
Box Internet;808;151,8;;
Box Internet;809;57,5;;
Box Internet;810;85,2;52,5;
Box Internet;902;93,7;71,1;
Box Internet;903;203,7;89,1;
Box Internet;904;184,9;;
Box Internet;905;208,7;144,9;
Box Internet;906;26,2;;
Box Internet;907;92,0;146,6;
Box Internet;908;163,7;162,9;
Box Internet;909;48,4;20,1;
Box Internet;910;75,2;;
Box Internet;911;70,6;68,3;
Box Internet;912;71,9;75,3;
Box Internet;1001;74,1;212,2;
Box Internet;1002;73,9;80,3;
Box Internet;1003;63,6;80,7;
Box Internet;1004;47,6;48,6;
Box Internet;1005;209,5;209,0;
Box Internet;1006;159,3;163,6;
Box Internet;1007;200,8;215,5;
Box Internet;1008;154,0;;
Box Internet;1009;98,5;94,9;
Box Internet;1010;180,7;179,8;
Box Internet;1011;74,4;76,2;
Box Internet;120;;72,9;
Box Internet;121;;187,3;
Box Internet;122;;80,3;
Box Internet;123;;100,3;
Box Internet;320;;70,5;
Box Internet;326;;68,2;
Box Internet;420;;136,8;
Box Internet;421;;49,1;
Box Internet;520;;86,0;
Box Internet;620;;294,3;
Box Internet;720;;68,3;
Box Internet;721;;73,0;
Box Internet;722;;151,4;
Box Internet;820;;95,7;
Box Internet;821;;73,1;
Box Internet;822;;87,8;
Box Internet;823;;74,9;
Box Internet;921;;69,3;
Box Internet;922;;71,4;
Box TV;101;59,6;63,6;
Box TV;102;90,0;16,4;
Box TV;103;62,8;45,0;
Box TV;105;80,4;86,3;
Box TV;107;36,9;;
Box TV;109;158,8;;
Box TV;201;71,4;49,5;
Box TV;202;108,6;102,8;
Box TV;204;108,6;;
Box TV;204;108,6;;
Box TV;205;22,6;24,3;
Box TV;207;57,4;57,5;
Box TV;209;115,8;99,6;
Box TV;301;70,5;14,1;
Box TV;302;91,3;85,9;
Box TV;303;76,3;106,4;
Box TV;304;36,1;;
Box TV;306;85,4;85,5;
Box TV;307;38,5;;
Box TV;308;113,9;116,5;
Box TV;310;113,9;113,9;
Box TV;311;133,6;127,3;
Box TV;401;125,0;;
Box TV;401;125,0;;
Box TV;403;77,3;111,2;
Box TV;404;88,6;68,0;
Box TV;408;13,9;;
Box TV;410;60,7;38,8;
Box TV;502;130,2;61,5;
Box TV;503;62,6;60,0;
Box TV;506;94,1;68,0;
Box TV;507;92,4;86,7;
Box TV;508;73,5;61,5;
Box TV;509;126,0;;
Box TV;510;113,3;93,4;
Box TV;601;53,8;39,2;
Box TV;602;120,2;116,8;
Box TV;603;71,3;106,1;
Box TV;604;135,3;95,2;
Box TV;605;47,7;44,1;
Box TV;607;57,2;17,9;
Box TV;608;145,8;146,5;
Box TV;701;145,8;;
Box TV;702;46,7;43,7;
Box TV;703;72,4;34,5;
Box TV;704;123,5;122,2;
Box TV;705;18,3;12,8;
Box TV;706;27,6;111,7;
Box TV;707;68,5;67,3;
Box TV;708;86,7;;
Box TV;709;103,4;108,4;
Box TV;801;45,4;28,1;
Box TV;802;132,5;;
Box TV;803;6,0;146,8;
Box TV;804;124,2;141,2;
Box TV;806;54,2;58,7;
Box TV;807;109,0;112,4;
Box TV;902;111,5;34,8;
Box TV;903;103,9;10,9;
Box TV;904;115,3;;
Box TV;905;127,4;142,6;
Box TV;907;88,0;56,1;
Box TV;908;90,4;91,2;
Box TV;910;59,5;;
Box TV;911;114,0;135,6;
Box TV;912;29,8;12,5;
Box TV;1001;82,3;61,6;
Box TV;1002;158,7;179,2;
Box TV;1003;32,1;36,4;
Box TV;1005;116,1;111,9;
Box TV;1006;39,4;30,7;
Box TV;1007;40,1;;
Box TV;1008;120,4;;
Box TV;1010;107,0;91,7;
Box TV;1011;139,1;96,2;
Box TV;121;;9,7;
Box TV;122;;132,9;
Box TV;123;;106,1;
Box TV;320;;40,0;
Box TV;326;;45,2;
Box TV;402;;18,4;
Box TV;420;;96,2;
Box TV;421;;110,7;
Box TV;720;;86,6;
Box TV;721;;99,4;
Box TV;722;;155,4;
Box TV;820;;75,3;
Box TV;822;;151,5;
Box TV;823;;21,9;
Box TV;921;;59,4;
Box TV;921;;40,8;
Box TV;922;;124,0;
Cafetière_expresso;101;21,2;10,3;
Cafetière_expresso;102;29,1;15,7;
Cafetière_expresso;104;16,2;;
Cafetière_expresso;105;16,6;10,0;
Cafetière_expresso;107;52,1;;
Cafetière_expresso;108;31,3;;
Cafetière_expresso;109;9,1;;
Cafetière_expresso;110;9,2;6,5;
Cafetière_expresso;209;6,3;5,1;
Cafetière_expresso;305;14,3;20,6;
Cafetière_expresso;307;34,1;;
Cafetière_expresso;311;25,8;28,2;
Cafetière_expresso;406;25,5;24,5;
Cafetière_expresso;503;13,6;13,6;
Cafetière_expresso;510;6,6;6,2;
Cafetière_expresso;602;33,5;34,1;
Cafetière_expresso;603;6,4;22,4;
Cafetière_expresso;605;37,0;46,1;
Cafetière_expresso;607;33,3;73,6;
Cafetière_expresso;701;10,3;;
Cafetière_expresso;702;32,1;25,7;
Cafetière_expresso;704;17,9;22,1;
Cafetière_expresso;801;28,3;22,2;
Cafetière_expresso;804;20,7;28,5;
Cafetière_expresso;806;56,4;70,5;
Cafetière_expresso;807;10,9;14,8;
Cafetière_expresso;810;24,0;;
Cafetière_expresso;902;82,1;76,6;
Cafetière_expresso;911;19,9;23,3;
Cafetière_expresso;912;57,0;71,3;
Cafetière_expresso;1004;24,1;16,2;
Cafetière_expresso;1006;16,3;29,9;
Cafetière_expresso;1007;4,7;4,7;
Cafetière_expresso;1010;8,9;10,1;
Cafetière_expresso;303;;14,0;
Cafetière_expresso;705;;5,2;
Cafetière_expresso;721;;14,4;
Cafetière_expresso;722;;3,9;
Cafetière_expresso;820;;14,5;
Cafetière_expresso;823;;6,0;
Cafetière_expresso;707;;16,6;
Cafetière_filtre;201;19,8;19,8;
Cafetière_filtre;202;48,6;59,7;
Cafetière_filtre;204;39,2;47,6;
Cafetière_filtre;208;34,5;;
Cafetière_filtre;209;36,7;31,2;
Cafetière_filtre;301;73,7;90,7;
Cafetière_filtre;302;10,2;9,9;
Cafetière_filtre;306;66,1;67,3;
Cafetière_filtre;308;16,2;12,0;
Cafetière_filtre;403;16,8;5,8;
Cafetière_filtre;410;58,4;22,8;
Cafetière_filtre;706;45,3;37,9;
Cafetière_filtre;707;20,6;15,5;
Cafetière_filtre;709;3,8;8,6;
Cafetière_filtre;1003;42,8;27,0;
Cafetière_filtre;120;;33,4;
Cafetière_filtre;326;;12,0;
Cafetière_filtre;508;;4,0;
Cafetière_filtre;620;;66,6;
Cafetière_filtre;720;;33,4;
Cafetière_filtre;803;;40,9;
Cave à vin;304;367,9;;
Cave à vin;311;76,0;79,4;
Cave à vin;406;150,4;159,4;
Cave à vin;502;159,9;159,8;
Cave à vin;607;226,2;193,6;
Cave à vin;1010;354,0;349,4;
Cave à vin;720;;505,7;
Cave à vin;902;;353,2;
Chambre froide;911;1404,0;1715,9;
Chambre froide;1010;0,0;0,0;
Chaudières;102;175,2;216,8;GAZ
Chaudières;104;119,1;;GAZ
Chaudières;107;195,0;83,0;GAZ
Chaudières;109;178,5;;GAZ
Chaudières;110;49,6;52,9;GAZ
Chaudières;121;;375,1;GAZ
Chaudières;122;;81,2;GAZ
Chaudières;201;96,7;117,4;FIOUL
Chaudières;206;589,7;478,1;GAZ
Chaudières;208;50,3;;GAZ
Chaudières;210;364,5;567,2;GAZ
Chaudières;305;226,8;175,5;GAZ
Chaudières;308;62,6;59,4;GAZ
Chaudières;309;93,6;92,7;GAZ
Chaudières;311;123,9;168,2;GAZ
Chaudières;403;273,4;215,5;GAZ
Chaudières;404;287,3;279,2;GAZ
Chaudières;420;;37,2;GAZ
Chaudières;501;81,7;;GAZ
Chaudières;504;88,9;103,8;GAZ
Chaudières;505;83,1;85,0;GAZ
Chaudières;508;235,4;225,5;GAZ
Chaudières;509;86,8;;GAZ
Chaudières;510;72,6;131,2;FIOUL
Chaudières;601;;128,1;GAZ
Chaudières;603;347,2;307,0;GAZ
Chaudières;604;233,2;196,7;GAZ
Chaudières;605;126,6;141,3;GAZ
Chaudières;607;201,5;203,6;GAZ
Chaudières;608;318,6;403,0;GAZ
Chaudières;620;;622,6;GAZ
Chaudières;701;58,7;;FIOUL
Chaudières;702;196,2;199,0;GAZ
Chaudières;704;371,9;532,8;FIOUL
Chaudières;708;55,3;;GAZ
Chaudières;722;;235,5;FIOUL
Chaudières;802;-901,5;;COGÉ GAZ
Chaudières;822;;82,3;GAZ
Chaudières;903;111,9;137,1;GAZ
Chaudières;904;59,3;;GAZ
Chaudières;911;903,8;784,8;FIOUL
Chaudières;1004;613,3;364,9;FIOUL
Chaudières;1005;63,7;69,7;GAZ
Chaudières;1008;190,2;;GAZ
Chaudières;1009;93,4;110,5;GAZ
Chauffage électrique;101;293,5;272,4;
Chauffage électrique;103;1053,6;844,4;
Chauffage électrique;105;11,1;5,1;
Chauffage électrique;108;1888,9;;
Chauffage électrique;109;17,6;;
Chauffage électrique;110;150,0;109,8;
Chauffage électrique;120;;211,9;
Chauffage électrique;123;;227,8;
Chauffage électrique;201;32,7;33,2;
Chauffage électrique;202;1884,8;1946,8;
Chauffage électrique;203;2486,1;2265,9;
Chauffage électrique;204;6128,4;6566,1;
Chauffage électrique;206;933,8;616,5;
Chauffage électrique;207;5056,5;4830,2;
Chauffage électrique;208;16,5;;
Chauffage électrique;304;3411,8;;
Chauffage électrique;306;3748,8;2039,1;
Chauffage électrique;310;3456,4;4302,9;
Chauffage électrique;320;;8,0;
Chauffage électrique;326;;3,8;
Chauffage électrique;401;936,2;;
Chauffage électrique;402;2001,4;1336,5;
Chauffage électrique;405;2898,2;89,9;
Chauffage électrique;407;1465,5;863,3;
Chauffage électrique;408;985,9;;
Chauffage électrique;409;968,0;580,2;
Chauffage électrique;410;4992,9;5763,2;
Chauffage électrique;420;;979,4;
Chauffage électrique;421;;38,1;
Chauffage électrique;502;5315,7;5795,2;
Chauffage électrique;503;505,7;336,9;
Chauffage électrique;504;239,7;33,6;
Chauffage électrique;505;2179,4;798,0;
Chauffage électrique;506;288,1;336,7;
Chauffage électrique;508;360,3;19,3;
Chauffage électrique;601;;399,6;
Chauffage électrique;604;60,2;59,1;
Chauffage électrique;605;102,0;412,9;
Chauffage électrique;606;60,8;9,8;
Chauffage électrique;607;762,1;993,9;
Chauffage électrique;608;59,5;61,8;
Chauffage électrique;701;5827,5;;
Chauffage électrique;702;13,7;8,9;
Chauffage électrique;703;4856,6;5035,8;
Chauffage électrique;705;2171,1;4593,3;
Chauffage électrique;706;2541,4;4729,4;
Chauffage électrique;707;2973,6;2887,7;
Chauffage électrique;709;623,6;607,7;
Chauffage électrique;720;;1243,3;
Chauffage électrique;721;;3363,0;
Chauffage électrique;722;;31,9;
Chauffage électrique;801;2104,5;2188,1;
Chauffage électrique;803;3229,1;4360,8;
Chauffage électrique;804;6699,9;6645,7;
Chauffage électrique;805;559,9;692,0;
Chauffage électrique;806;2510,5;3358,8;
Chauffage électrique;807;49,4;124,7;
Chauffage électrique;808;12159,7;;
Chauffage électrique;809;2406,8;;
Chauffage électrique;810;1561,8;6111,4;
Chauffage électrique;820;;17,3;
Chauffage électrique;822;;420,0;
Chauffage électrique;823;;145,9;
Chauffage électrique;902;1582,5;1936,7;
Chauffage électrique;904;54,3;;
Chauffage électrique;905;60,9;131,1;
Chauffage électrique;906;5343,9;;
Chauffage électrique;908;66,3;57,7;
Chauffage électrique;909;3,5;5,6;
Chauffage électrique;910;1971,7;;
Chauffage électrique;911;1112,6;851,1;
Chauffage électrique;912;8558,6;7861,9;
Chauffage électrique;921;;5202,5;
Chauffage électrique;922;;31,5;
Chauffage électrique;1001;1380,8;1935,8;
Chauffage électrique;1002;3677,8;4744,9;
Chauffage électrique;1003;232,2;170,4;
Chauffage électrique;1004;48,5;;
Chauffage électrique;1005;645,2;26,1;
Chauffage électrique;1006;103,6;774,6;
Chauffage électrique;1007;;123,4;
Chauffage électrique;1009;1317,8;889,5;
Chauffage électrique;1010;2035,5;3581,6;
Chauffage électrique;1011;76,7;1013,5;
Clim_fixe;902;784,0;785,6;
Clim_fixe;803;597,0;692,5;
Clim_fixe;505;164,2;189,7;
Clim_fixe;1011;;176,5;
Clim_fixe;1005;42,8;40,4;
Clim_fixe;410;0,0;0,0;
Clim_fixe;906;284,3;;
Clim_fixe;910;200,4;;
Clim_fixe;1001;94,0;;
Clim_mob_rafraich_Déshum;802;386,8;;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;709;28,6;;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;310;6,0;79,9;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;721;;674,0;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;105;;80,9;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;602;;125,9;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;1006;;25,4;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;903;;85,1;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;907;;49,3;CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum;102;1404,8;1377,0;DÉSHUMIDIFCATEUR
Clim_mob_rafraich_Déshum;601;3,8;188,0;DÉSHUMIDIFCATEUR
Clim_mob_rafraich_Déshum;421;;62,8;DÉSHUMIDIFCATEUR
Clim_mob_rafraich_Déshum;403;29,3;0,0;RAFRAICHISSEUR SUR PRISE
Clim_mob_rafraich_Déshum;604;8,4;7,1;RAFRAICHISSEUR SUR PRISE
Clim_mob_rafraich_Déshum;1008;0,0;;RAFRAICHISSEUR SUR PRISE
Congélateur;101;115,9;208,8;ARMOIRE
Congélateur;202;113,3;122,1;ARMOIRE
Congélateur;203;109,1;98,2;ARMOIRE
Congélateur;205;267,4;271,3;ARMOIRE
Congélateur;206;162,2;155,7;ARMOIRE
Congélateur;208;187,2;;ARMOIRE
Congélateur;208;145,5;;ARMOIRE
Congélateur;209;109,0;80,0;ARMOIRE
Congélateur;210;701,1;766,0;ARMOIRE
Congélateur;303;262,7;258,5;ARMOIRE
Congélateur;308;441,5;449,0;ARMOIRE
Congélateur;311;308,2;222,7;ARMOIRE
Congélateur;401;173,6;;ARMOIRE
Congélateur;405;169,2;150,3;ARMOIRE
Congélateur;406;201,3;409,0;ARMOIRE
Congélateur;407;388,0;372,2;ARMOIRE
Congélateur;503;225,0;182,4;ARMOIRE
Congélateur;505;152,8;163,7;ARMOIRE
Congélateur;601;589,8;201,1;ARMOIRE
Congélateur;604;30,8;210,2;ARMOIRE
Congélateur;607;231,3;228,2;ARMOIRE
Congélateur;701;228,2;;ARMOIRE
Congélateur;705;626,9;639,1;ARMOIRE
Congélateur;708;427,0;;ARMOIRE
Congélateur;803;303,3;319,1;ARMOIRE
Congélateur;804;295,0;312,1;ARMOIRE
Congélateur;808;415,0;;ARMOIRE
Congélateur;809;171,5;;ARMOIRE
Congélateur;809;105,2;;ARMOIRE
Congélateur;902;259,6;268,3;ARMOIRE
Congélateur;907;886,3;898,2;ARMOIRE
Congélateur;1003;220,8;206,7;ARMOIRE
Congélateur;1006;235,0;241,6;ARMOIRE
Congélateur;1007;166,8;196,6;ARMOIRE
Congélateur;1010;636,7;521,4;ARMOIRE
Congélateur;1010;237,9;242,3;ARMOIRE
Congélateur;320;;301,7;ARMOIRE
Congélateur;620;;202,9;ARMOIRE
Congélateur;720;;378,6;ARMOIRE
Congélateur;912;;263,1;ARMOIRE
Congélateur;105;337,0;307,1;COFFRE
Congélateur;201;619,2;533,5;COFFRE
Congélateur;209;142,6;149,9;COFFRE
Congélateur;210;168,1;175,7;COFFRE
Congélateur;403;200,8;230,6;COFFRE
Congélateur;503;418,8;457,8;COFFRE
Congélateur;510;492,0;985,2;COFFRE
Congélateur;602;209,1;232,0;COFFRE
Congélateur;603;107,4;164,6;COFFRE
Congélateur;607;286,2;273,9;COFFRE
Congélateur;709;302,3;337,6;COFFRE
Congélateur;709;194,4;42,2;COFFRE
Congélateur;802;222,6;;COFFRE
Congélateur;809;289,5;;COFFRE
Congélateur;810;644,3;616,2;COFFRE
Congélateur;904;502,4;;COFFRE
Congélateur;906;227,2;;COFFRE
Congélateur;911;223,3;220,4;COFFRE
Congélateur;1010;81,9;168,9;COFFRE
Congélateur;1011;178,7;180,2;COFFRE
Congélateur;722;;152,7;COFFRE
Congélateur;805;;210,9;COFFRE
Congélateur;620;;344,3;COFFRE
Congélateur;805;;292,5;COFFRE
Console de jeux;207;56,6;68,5;
Console de jeux;404;8,4;77,6;
Console de jeux;408;15,3;;
Console de jeux;409;0,2;;
Console de jeux;502;9,5;10,6;
Console de jeux;503;293,0;113,3;
Console de jeux;503;0,7;15,7;
Console de jeux;602;600,1;340,7;
Console de jeux;603;188,1;145,4;
Console de jeux;605;171,3;120,0;
Console de jeux;605;12,8;12,6;
Console de jeux;708;74,2;;
Console de jeux;807;5,7;5,8;
Console de jeux;901;1,4;1,1;
Console de jeux;122;;34,1;
Console de jeux;326;;0,9;
Console de jeux;607;;25,8;
Console de jeux;704;;4,3;
Console de jeux;806;;2,1;
Console de jeux;821;;124,2;
Console de jeux;823;;120,8;
Console de jeux;921;;11,1;
Console de jeux;603;;4,8;
